global_idx,run_id,sigma_0,eps_delta,e_s
659,15,-814.0038027276632,-0.0005,325601.5210910653
1034,24,-959.4378677066304,-0.0005,383775.14708265214
1099,26,-37.23704654085324,-0.0005,14894.818616341296
689,16,-135.66109069533837,-0.0005,54264.43627813535
1027,24,-267.7615005379104,-0.0005,107104.60021516416
361,8,-294.39658958042804,-0.0005,117758.63583217122
768,18,-61.22020962872623,-0.0005,24488.083851490494
490,11,-624.8765021801827,-0.0005,249950.60087207303
574,13,-864.5699725760101,-0.0005,345827.989030404
1025,24,-185.94548648466,-0.0005,74378.19459386401
988,23,-431.2095663838704,-0.0005,172483.82655354816
658,15,-678.3365022730527,-0.0005,271334.6009092211
657,15,-565.2804185608773,-0.0005,226112.1674243509
364,8,-508.71730679497966,-0.0005,203486.92271799187
989,23,-517.4514796606445,-0.0005,206980.59186425785
1030,24,-462.69187292950926,-0.0005,185076.7491718037
572,13,-600.3958142888958,-0.0005,240158.32571555837
866,20,-935.8408044721872,-0.0005,374336.32178887486
533,12,-695.7330360774015,-0.0005,278293.2144309606
363,8,-423.9310889958164,-0.0005,169572.43559832656
860,20,-313.4111919126784,-0.0005,125364.47676507136
615,14,-572.6116060049357,-0.0005,229044.64240197427
119,2,-1015.1313211123692,-0.0005,406052.5284449477
1113,26,-478.0933161906688,-0.0005,191237.32647626757
359,8,-204.44207609751948,-0.0005,81776.83043900778
36,0,-900.971818569322,-0.0005,360388.7274277288
78,1,-806.3464050227078,-0.0005,322538.5620090831
859,20,-261.1759932605653,-0.0005,104470.39730422614
281,6,-368.1453881964659,-0.0005,147258.15527858635
944,22,-409.7850757088125,-0.0005,163914.030283525
858,20,-217.64666105047112,-0.0005,87058.66442018845
237,5,-285.7799715355695,-0.0005,114311.98861422778
314,7,-92.40552681077254,-0.0005,36962.21072430901
242,5,-711.1120187713882,-0.0005,284444.8075085553
782,18,-786.0175754587377,-0.0005,314407.0301834951
560,13,-67.33838607732756,-0.0005,26935.354430931024
360,8,-245.33049131702336,-0.0005,98132.19652680936
346,8,-19.107949460266248,-0.0005,7643.179784106499
1023,24,-129.1288100587917,-0.0005,51651.52402351667
898,21,-167.22862151365536,-0.0005,66891.44860546214
756,18,-6.866253917170817,-0.0005,2746.501566868327
943,22,-341.4875630906772,-0.0005,136595.02523627086
1017,24,-43.244977219834965,-0.0005,17297.990887933986
118,2,-845.9427675936411,-0.0005,338377.1070374564
935,22,-79.4190930142936,-0.0005,31767.63720571744
398,9,-116.83007737062428,-0.0005,46732.03094824971
854,20,-104.96077404054358,-0.0005,41984.30961621743
1182,28,-31.354728684559905,-0.0005,12541.89147382396
228,5,-55.3860730573148,-0.0005,22154.42922292592
654,15,-327.1298718523595,-0.0005,130851.9487409438
357,8,-141.97366395661075,-0.0005,56789.4655826443
35,0,-750.8098488077683,-0.0005,300323.9395231073
77,1,-671.9553375189232,-0.0005,268782.1350075693
945,22,-491.74209085057504,-0.0005,196696.83634023
1109,26,-230.56197732960496,-0.0005,92224.79093184198
322,7,-397.3268513786945,-0.0005,158930.74055147782
1200,28,-834.7673917007709,-0.0005,333906.9566803083
