data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
2.748599570168153e-07,,28,405,2.748599570168153e-07,
2.749269469859428e-07,,29,419,2.749269469859428e-07,
2.7499206112224783e-07,,30,433,2.7499206112224783e-07,
2.750600742729148e-07,,31,447,2.750600742729148e-07,
,5.2277908224596104e-08,32,449,,5.2277908224596104e-08
2.751219483343448e-07,,32,461,2.751219483343448e-07,
2.751854424332123e-07,,33,475,2.751854424332123e-07,
2.752497607616533e-07,,34,489,2.752497607616533e-07,
,1.1584701553601917e-07,35,499,,1.1584701553601917e-07
2.7530944635145715e-07,,35,503,2.7530944635145715e-07,
2.753764078988752e-07,,36,517,2.753764078988752e-07,
2.754334218479926e-07,,37,531,2.754334218479926e-07,
2.754954095962603e-07,,38,545,2.754954095962603e-07,
,4.584816792885249e-08,39,549,,4.584816792885249e-08
2.755602963588899e-07,,39,559,2.755602963588899e-07,
2.75617423994845e-07,,40,573,2.75617423994845e-07,
2.756788148872147e-07,,41,587,2.756788148872147e-07,
,1.1068572121075704e-06,42,599,,1.1068572121075704e-06
2.7574205319069733e-07,,42,601,2.7574205319069733e-07,
2.7579926609178074e-07,,43,615,2.7579926609178074e-07,
2.758588948381657e-07,,44,629,2.758588948381657e-07,
2.759236394922482e-07,,45,643,2.759236394922482e-07,
,3.5782892382485443e-07,46,649,,3.5782892382485443e-07
2.759835524557275e-07,,46,657,2.759835524557275e-07,
2.7604795604929677e-07,,47,671,2.7604795604929677e-07,
2.761094890502136e-07,,48,685,2.761094890502136e-07,
,7.086971720582369e-08,49,699,,7.086971720582369e-08
2.761694304354023e-07,,49,699,2.761694304354023e-07,
2.762293433988816e-07,,50,713,2.762293433988816e-07,
2.7629621968117135e-07,,51,727,2.7629621968117135e-07,
2.7635718424789957e-07,,52,741,2.7635718424789957e-07,
,5.303822945279535e-07,53,749,,5.303822945279535e-07
2.764203088645445e-07,,53,755,2.764203088645445e-07,
2.7647962497212575e-07,,54,769,2.7647962497212575e-07,
2.765572730822896e-07,,55,783,2.765572730822896e-07,
2.766155091649125e-07,,56,797,2.766155091649125e-07,
,5.9349453351842385e-08,57,799,,5.9349453351842385e-08
2.766871034509677e-07,,57,811,2.766871034509677e-07,
2.7675389446812915e-07,,58,825,2.7675389446812915e-07,
2.7682418135555054e-07,,59,839,2.7682418135555054e-07,
,1.1459839299732266e-07,60,849,,1.1459839299732266e-07
2.768933313745947e-07,,60,853,2.768933313745947e-07,
2.7696282245415205e-07,,61,867,2.7696282245415205e-07,
2.7703404725798464e-07,,62,881,2.7703404725798464e-07,
2.771071194729302e-07,,63,895,2.771071194729302e-07,
,4.432692080058587e-08,64,899,,4.432692080058587e-08
2.771847960048035e-07,,64,909,2.771847960048035e-07,
2.7725718609872274e-07,,65,923,2.7725718609872274e-07,
2.7733963747778034e-07,,66,937,2.7733963747778034e-07,
,1.0901242148975143e-06,67,949,,1.0901242148975143e-06
2.7741845087803085e-07,,67,951,2.7741845087803085e-07,
2.7749527475862124e-07,,68,965,2.7749527475862124e-07,
2.7758315468418004e-07,,69,979,2.7758315468418004e-07,
2.7766512289417733e-07,,70,993,2.7766512289417733e-07,
,3.6306596484791953e-07,71,999,,3.6306596484791953e-07
2.777537986276002e-07,,71,1007,2.777537986276002e-07,
2.778380121526425e-07,,72,1021,2.778380121526425e-07,
2.779304679734196e-07,,73,1035,2.779304679734196e-07,
,8.487342739726955e-08,74,1049,,8.487342739726955e-08
2.7802681756838865e-07,,74,1049,2.7802681756838865e-07,
2.7811339009531366e-07,,75,1063,2.7811339009531366e-07,
2.7821258186122577e-07,,76,1077,2.7821258186122577e-07,
2.7831717375192966e-07,,77,1091,2.7831717375192966e-07,
,5.325649112819519e-07,78,1099,,5.325649112819519e-07
2.784190371585282e-07,,78,1105,2.784190371585282e-07,
2.785235437841038e-07,,79,1119,2.785235437841038e-07,
2.786252366604458e-07,,80,1133,2.786252366604458e-07,
2.787373887258582e-07,,81,1147,2.787373887258582e-07,
,6.793823104089824e-08,82,1149,,6.793823104089824e-08
2.788464996683615e-07,,82,1161,2.788464996683615e-07,
2.7896842880181794e-07,,83,1175,2.7896842880181794e-07,
2.790858104617655e-07,,84,1189,2.790858104617655e-07,
,1.1308242164886906e-07,85,1199,,1.1308242164886906e-07
